Trait,Original code,New code,Original_name,New_name,Category,Category2,Notes
EA001,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA002,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA003,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA004,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA005,NA,NA,NA,NA,"Subsistence, Economy",Subsistence,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA006,NA,NA,Missing data,Missing data,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",Do societies share the prevailing type of transfer/exchange at marriage?
EA006,1,1,Bride-wealth,Bride-wealth,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,2,2,Bride-service,Bride-service,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,3,3,Token bride-wealth,Token bride-wealth,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,4,4,Gift exchange,Gift exchange,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,5,5,Woman exchange,Woman exchange,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA006,6,6,Insignificant,Insignificant,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship","Insignificant is left as a category, rather than replaced with NA. In these societies marriages and exchanges at marriage still happen, and the type of transfer differs from other societies by being small/absent."
EA006,7,7,Dowry,Dowry,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship",
EA007,NA,NA,NA,NA,"Marriage, Kinship, Wealth Transactions, Economy","Marriage, Kinship","For the goals of this analysis, redundant to EA006, as it represents alternative types of transfer or exchange at marriage. Excluded from analyses."
EA008,NA,Missing data,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the type of domestic organization (defined based on both mating system and organization of families)?.
EA008,1,1,"Nuclear, monogamous","Nuclear, monogamous","Marriage, Kinship","Marriage, Kinship",
EA008,2,2,"Nuclear, limited polygyny","Nuclear, limited polygyny","Marriage, Kinship","Marriage, Kinship",
EA008,3,3,Polyandrous,Polyandrous,"Marriage, Kinship","Marriage, Kinship",
EA008,4,4,"Polygyny, atypical cowives pattern","Polygyny, atypical cowives pattern","Marriage, Kinship","Marriage, Kinship",
EA008,5,5,"Polygyny, typical cowives pattern","Polygyny, typical cowives pattern","Marriage, Kinship","Marriage, Kinship",
EA008,6,6,Minimal extended,Minimal extended,"Marriage, Kinship","Marriage, Kinship",
EA008,7,7,Small extended,Small extended,"Marriage, Kinship","Marriage, Kinship",
EA008,8,8,Large extended,Large extended,"Marriage, Kinship","Marriage, Kinship",
EA009,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship","Do societies share the marital composition of family units, defined using both mating system and other aspects such sororal/non-sororal polygyny and the organization of co-wives quarters?"
EA009,1,1,Monogamous,Monogamous,"Marriage, Kinship","Marriage, Kinship",
EA009,2,2,Limited polygyny,Limited polygyny,"Marriage, Kinship","Marriage, Kinship",
EA009,3,3,"Polygyny, sororal cohabit","Polygyny, sororal cohabit","Marriage, Kinship","Marriage, Kinship",
EA009,4,4,"Polygyny, sororal separate","Polygyny, sororal separate","Marriage, Kinship","Marriage, Kinship",
EA009,5,5,"Polygyny, non-sororal cohabit","Polygyny, non-sororal cohabit","Marriage, Kinship","Marriage, Kinship",
EA009,6,6,"Polygyny, non-sororal separate","Polygyny, non-sororal separate","Marriage, Kinship","Marriage, Kinship",
EA009,7,7,Polyandrous,Polyandrous,"Marriage, Kinship","Marriage, Kinship",
EA010,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the pattern of marital residence with kin (first years after marriage)? 
EA010,1,1,Avunculocal,Avunculocal,"Marriage, Kinship","Marriage, Kinship",
EA010,2,2,Ambilocal,Ambilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,3,3,Avuncu-uxorilocal,Avuncu-uxorilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,4,4,Avuncu-virilocal,Avuncu-virilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,5,5,Matrilocal,Matrilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,6,6,Neolocal,Neolocal,"Marriage, Kinship","Marriage, Kinship",
EA010,7,7,Separate,Separate,"Marriage, Kinship","Marriage, Kinship",
EA010,8,8,Patrilocal,Patrilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,9,9,Uxorilocal,Uxorilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,10,10,Virilocal,Virilocal,"Marriage, Kinship","Marriage, Kinship",
EA010,11,11,Ambi-uxo,Ambi-uxo,"Marriage, Kinship","Marriage, Kinship",
EA010,12,12,Ambi-viri,Ambi-viri,"Marriage, Kinship","Marriage, Kinship",
EA201,NA,NA,NA,NA,"Marriage, Kinship","Marriage, Kinship","Presence/absence variable (i.e. only two categories), hence excluded from analyses. "
EA011,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the prevailing pattern of transfer at marriage?
EA011,1,1,Wife to husband,Wife to husband,"Marriage, Kinship","Marriage, Kinship",
EA011,2,2,Ambi/neo-local,Ambi/neo-local,"Marriage, Kinship","Marriage, Kinship",
EA011,3,3,Husband to wife,Husband to wife,"Marriage, Kinship","Marriage, Kinship",
EA011,9,9,Separate,Separate,"Marriage, Kinship","Marriage, Kinship",
EA012,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the pattern of marital residence with kin?
EA012,1,1,Avunculocal,Avunculocal,"Marriage, Kinship","Marriage, Kinship",
EA012,2,2,Ambilocal,Ambilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,3,3,Avuncu-uxorilocal,Avuncu-uxorilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,4,4,Avuncu-virilocal,Avuncu-virilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,5,5,Matrilocal,Matrilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,6,6,Neolocal,Neolocal,"Marriage, Kinship","Marriage, Kinship",
EA012,7,7,Separate,Separate,"Marriage, Kinship","Marriage, Kinship",
EA012,8,8,Patrilocal,Patrilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,9,9,Uxorilocal,Uxorilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,10,10,Virilocal,Virilocal,"Marriage, Kinship","Marriage, Kinship",
EA012,11,11,Ambi-uxo,Ambi-uxo,"Marriage, Kinship","Marriage, Kinship",
EA012,12,12,Ambi-viri,Ambi-viri,"Marriage, Kinship","Marriage, Kinship",
EA013,NA,NA,NA,NA,"Marriage, Kinship","Marriage, Kinship","For the goals of this analysis, redundant to EA011. Excluded from analyses."
EA014,NA,NA,NA,NA,"Marriage, Kinship","Marriage, Kinship","For the goals of this analysis, redundant to EA012. Excluded from analyses."
EA015,NA,NA,Missing data,Missing data,"Marriage, Kinship, Community organization","Marriage, Kinship",Do societies share the patterns of community marriage oranization?
EA015,1,1,Demes,Demes,"Marriage, Kinship, Community organization","Marriage, Kinship",
EA015,2,2,"Segmented, no exogamy","Segmented, no exogamy","Marriage, Kinship, Community organization","Marriage, Kinship",
EA015,3,3,Agamous,Agamous,"Marriage, Kinship, Community organization","Marriage, Kinship",
EA015,4,4,Exogamous,Exogamous,"Marriage, Kinship, Community organization","Marriage, Kinship",
EA015,5,5,"Segmented, exogamy","Segmented, exogamy","Marriage, Kinship, Community organization","Marriage, Kinship",
EA015,6,6,Clans,Clans,"Marriage, Kinship, Community organization","Marriage, Kinship",
EA016 ,NA,NA,NA,NA,"Marriage, Kinship, Community organization","Marriage, Kinship","Variable with only 3 categories, out of which one represence the absence of target cultural trait (clan-community organization). Excluded from analyses."
EA017,NA,NA,Missing data,Missing data,Kinship,"Marriage, Kinship",Do societies share the pattern for the largest patrilinear kin group?
EA017,1,NA,None,None,Kinship,"Marriage, Kinship","Absence of patrilinear groups. Excluded from analyses, (new code = NA)."
EA017,2,2,Exogamy only,Exogamy only,Kinship,"Marriage, Kinship",
EA017,3,3,Lineages,Lineages,Kinship,"Marriage, Kinship",
EA017,4,4,Sibs,Sibs,Kinship,"Marriage, Kinship",
EA017,5,5,Phratries,Phratries,Kinship,"Marriage, Kinship",
EA017,6,6,Moieties,Moieties,Kinship,"Marriage, Kinship",
EA018,NA,NA,Missing data,Missing data,Kinship,"Marriage, Kinship",Do societies share the pattern for the largest patrilinear exogamous group?
EA018,1,NA,No patrilineal exogamy,No patrilineal exogamy,Kinship,"Marriage, Kinship",Absence of exogamous patrilinear groups. Excluded from analyses (new code = NA). 
EA018,2,2,Extended taboo,Extended taboo,Kinship,"Marriage, Kinship",
EA018,3,3,Lineages,Lineages,Kinship,"Marriage, Kinship",
EA018,4,4,Sibs,Sibs,Kinship,"Marriage, Kinship",
EA018,5,5,Phratries,Phratries,Kinship,"Marriage, Kinship",
EA018,6,6,Moieties,Moieties,Kinship,"Marriage, Kinship",
EA019,NA,NA,NA,Missing data,Kinship,"Marriage, Kinship",Do societies share the pattern for the largest matrilinear kin group?
EA019,1,NA,NA,None,Kinship,"Marriage, Kinship",Absence of matrilinear groups. Excluded from analyses (new code = NA).
EA019,2,2,2,Exogamy only,Kinship,"Marriage, Kinship",
EA019,3,3,3,Lineages,Kinship,"Marriage, Kinship",
EA019,4,4,4,Sibs,Kinship,"Marriage, Kinship",
EA019,5,5,5,Phratries,Kinship,"Marriage, Kinship",
EA019,6,6,6,Moieties,Kinship,"Marriage, Kinship",
EA020,NA,NA,NA,Missing data,Kinship,"Marriage, Kinship",Do societies share the pattern for the largest matrilinear exogamous group?
EA020,1,NA,NA,No matrilineal exogamy,Kinship,"Marriage, Kinship",Absence of exogamous matrilinear groups. Excluded from analyses (new code = NA).
EA020,2,2,2,Extended taboo,Kinship,"Marriage, Kinship",
EA020,3,3,3,Lineages,Kinship,"Marriage, Kinship",
EA020,4,4,4,Sibs,Kinship,"Marriage, Kinship",
EA020,5,5,5,Phratries,Kinship,"Marriage, Kinship",
EA020,6,6,6,Moieties,Kinship,"Marriage, Kinship",
EA021,NA,NA,NA,Missing data,Kinship,"Marriage, Kinship",Do societies share the pattern for cognatic kin groups?
EA021,1,1,NA,Bilateral inferred,Kinship,"Marriage, Kinship",Category inferred from the absence of reported other categories. Excluded from analyses (new code = NA).
EA021,2,2,2,Bilateral kindreds,Kinship,"Marriage, Kinship",
EA021,3,3,NA,Ambilineal,Kinship,"Marriage, Kinship",Category inferred from the absence of reported other categories. Excluded from analyses (new code = NA).
EA021,4,4,4,Ramages,Kinship,"Marriage, Kinship",
EA021,5,5,5,Exogamous ramages,Kinship,"Marriage, Kinship",
EA021,6,6,6,Quasi-lineages,Kinship,"Marriage, Kinship",
EA021,9,9,NA,No cognatic kin,Kinship,"Marriage, Kinship",Absence of ecognatic kin groups. Excluded from analyses.
EA022,NA,NA,NA,NA,Kinship,"Marriage, Kinship","For the goals of this analysis, redundant to EA021. Excluded from analyses."
EA023,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the rules or practices governing the marriageability or nonmarriageability of a man's first cousins?
EA023,1,1,Cross-cousin,Cross-cousin,"Marriage, Kinship","Marriage, Kinship",
EA023,2,2,Paternal only,Paternal only,"Marriage, Kinship","Marriage, Kinship",
EA023,3,3,Maternal only,Maternal only,"Marriage, Kinship","Marriage, Kinship",
EA023,4,4,FaBrDa/MoBrDa only,FaBrDa/MoBrDa only,"Marriage, Kinship","Marriage, Kinship",
EA023,5,5,FaSiDa/MoSiDa only,FaSiDa/MoSiDa only,"Marriage, Kinship","Marriage, Kinship",
EA023,6,6,Matrilateral cross only,Matrilateral cross only,"Marriage, Kinship","Marriage, Kinship",
EA023,7,7,No first/second cousins,No first/second cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA023,8,7,No first cousins,No first cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA023,9,9,Patrilateral cross only,Patrilateral cross only,"Marriage, Kinship","Marriage, Kinship",
EA023,10,10,Any first cousins,Any first cousins,"Marriage, Kinship","Marriage, Kinship",
EA023,11,7,Some second only,Some second only,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA023,12,7,Only second cousins,Only second cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA023,13,13,Trilateral,Trilateral,"Marriage, Kinship","Marriage, Kinship",
EA024,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship","Do societies share the rules or practices governing the marriageability or nonmarriageability of a man's first cousins? Similar to EA023, but broader categories."
EA024,1,1,Quadrilateral,Quadrilateral,"Marriage, Kinship","Marriage, Kinship",
EA024,2,2,Trilateral,Trilateral,"Marriage, Kinship","Marriage, Kinship",
EA024,3,3,Duolateral,Duolateral,"Marriage, Kinship","Marriage, Kinship",
EA024,4,4,Unilateral,Unilateral,"Marriage, Kinship","Marriage, Kinship",
EA024,5,5,Only second cousins,Only second cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA024,6,5,Some second only,Some second only,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA024,7,5,No first cousins,No first cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA024,8,5,No first/second cousins,No first/second cousins,"Marriage, Kinship","Marriage, Kinship",All codes indicating a ban on marrying first cousins have been lumped into one category.
EA025,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the preference regarding the practices governing the marriageability or nonmarriageability of a man's first cousins? 
EA025,1,1,Cross-cousin: either,Cross-cousin: either,"Marriage, Kinship","Marriage, Kinship",
EA025,2,2,Cross-cousin: matri,Cross-cousin: matri,"Marriage, Kinship","Marriage, Kinship",
EA025,3,3,Cross-cousin: patri,Cross-cousin: patri,"Marriage, Kinship","Marriage, Kinship",
EA025,4,4,Maternal: MoBrDa,Maternal: MoBrDa,"Marriage, Kinship","Marriage, Kinship",
EA025,5,5,Uni: MoBrDa,Uni: MoBrDa,"Marriage, Kinship","Marriage, Kinship",
EA025,6,6,Uni: FaSiDa,Uni: FaSiDa,"Marriage, Kinship","Marriage, Kinship",
EA025,7,7,All: FaBrDa,All: FaBrDa,"Marriage, Kinship","Marriage, Kinship",
EA025,8,8,All: cross,All: cross,"Marriage, Kinship","Marriage, Kinship",
EA025,9,9,All: matri,All: matri,"Marriage, Kinship","Marriage, Kinship",
EA025,10,NA,Some second only,Some second only,"Marriage, Kinship","Marriage, Kinship","All codes indicating a ban on marrying first cousins have been lumped into one category. Absence of first cousins marriage, hence excluded variable from analyses."
EA025,11,NA,Second cousins preferred,Second cousins preferred,"Marriage, Kinship","Marriage, Kinship","All codes indicating a ban on marrying first cousins have been lumped into one category. Absence of first cousins marriage, hence excluded variable from analyses."
EA025,12,12,Tri: bilateral,Tri: bilateral,"Marriage, Kinship","Marriage, Kinship",
EA025,13,13,Tri: matrilateral,Tri: matrilateral,"Marriage, Kinship","Marriage, Kinship",
EA025,14,14,Tri: patrilateral,Tri: patrilateral,"Marriage, Kinship","Marriage, Kinship",
EA025,15,15,None preferred,None preferred,"Marriage, Kinship","Marriage, Kinship",
EA026,NA,NA,Missing data,Missing data,"Marriage, Kinship","Marriage, Kinship",Do societies share the patterns for preferences for choosing a spouse among various cousin types?
EA026,1,1,Cross-cousin,Cross-cousin,"Marriage, Kinship","Marriage, Kinship",
EA026,2,2,MoBrDa,MoBrDa,"Marriage, Kinship","Marriage, Kinship",
EA026,3,3,FaSiDa,FaSiDa,"Marriage, Kinship","Marriage, Kinship",
EA026,4,4,FaBrDa,FaBrDa,"Marriage, Kinship","Marriage, Kinship",
EA026,5,5,Second cousin,Second cousin,"Marriage, Kinship","Marriage, Kinship",
EA026,9,9,None preferred,None preferred,"Marriage, Kinship","Marriage, Kinship",
EA027,NA,NA,Missing data,Missing data,Kinship,"Marriage, Kinship",Do societies share the kin terms they use to designate cousins?
EA027,1,1,Crow,Crow,Kinship,"Marriage, Kinship",
EA027,2,2,Descriptive,Descriptive,Kinship,"Marriage, Kinship",
EA027,3,3,Eskimo,Eskimo,Kinship,"Marriage, Kinship",
EA027,4,4,Hawaiian,Hawaiian,Kinship,"Marriage, Kinship",
EA027,5,5,Iroquois,Iroquois,Kinship,"Marriage, Kinship",
EA027,6,6,Omaha,Omaha,Kinship,"Marriage, Kinship",
EA027,7,7,Sudanese,Sudanese,Kinship,"Marriage, Kinship",
EA027,8,NA,Mixed,Mixed,Kinship,"Marriage, Kinship",No one term for designating cousins. Excluded from analyses.
EA028,NA,NA,Missing data,Missing data,"Subsistence, Economy",Subsistence,Do societies that use agriculture share the intensity of cultivation?
EA028,1,NA,No agriculture,No agriculture,"Subsistence, Economy",Subsistence,Absence of agriculture. Excluded from analyses.
EA028,2,2,Casual,Casual,"Subsistence, Economy",Subsistence,
EA028,3,3,Extensive/shifting,Extensive/shifting,"Subsistence, Economy",Subsistence,
EA028,4,4,Horticulture,Horticulture,"Subsistence, Economy",Subsistence,
EA028,5,5,Intensive,Intensive,"Subsistence, Economy",Subsistence,
EA028,6,5,Intensive irrigated,Intensive irrigated,"Subsistence, Economy",Subsistence,All codes indicating intensive aggriculture were lumped.
EA029,NA,NA,Missing data,Missing data,"Subsistence, Ecology",Subsistence,Do societies that use agriculture share the dominant crop type?
EA029,1,NA,No agriculture,No agriculture,"Subsistence, Ecology",Subsistence,Absence of agriculture. Excluded from analyses.
EA029,2,4,Non-food,Non-food,"Subsistence, Ecology",Subsistence,
EA029,3,5,Vegetables,Vegetables,"Subsistence, Ecology",Subsistence,
EA029,4,1,Tree-fruits,Tree-fruits,"Subsistence, Ecology",Subsistence,
EA029,5,2,Roots/tubers,Roots/tubers,"Subsistence, Ecology",Subsistence,
EA029,6,3,Cereals,Cereals,"Subsistence, Ecology",Subsistence,
EA030,NA,NA,Missing data,Missing data,"Community organization, Housing, Settlement",Community organization,Do societies share settlement patterns?
EA030,1,1,Nomadic,Nomadic,"Community organization, Housing, Settlement",Community organization,
EA030,2,2,Seminomadic,Seminomadic,"Community organization, Housing, Settlement",Community organization,
EA030,3,3,Semisedentary,Semisedentary,"Community organization, Housing, Settlement",Community organization,
EA030,4,4,Impermanent,Impermanent,"Community organization, Housing, Settlement",Community organization,
EA030,5,5,Dispersed homesteads,Dispersed homesteads,"Community organization, Housing, Settlement",Community organization,
EA030,6,6,Hamlets,Hamlets,"Community organization, Housing, Settlement",Community organization,
EA030,7,7,Villages/towns,Villages/towns,"Community organization, Housing, Settlement",Community organization,
EA030,8,8,Complex permanent,Complex permanent,"Community organization, Housing, Settlement",Community organization,
EA031,NA,NA,NA,NA,"Community organization, Population, Settlement",Community organization,"Ordinal data, not well suited for assigning sharing/non-sharing of culture status for pairs of societies. Excluded from analyses."
EA032,NA,NA,Missing data,Missing data,Community organization,Community organization,Do societies share the patterns for the jurisdictional hierarchy of local community?
EA032,2,2,Independent families,Independent families,Community organization,Community organization,
EA032,3,3,Extended families,Extended families,Community organization,Community organization,
EA032,4,4,Clan-barrios,Clan-barrios,Community organization,Community organization,
EA033,NA,NA,Missing data,Missing data,"Community organization, Politics",Community organization,Do societies share the patterns for the jurisdictional hierarchy beyond local community?
EA033,1,NA,Acephalous,Acephalous,"Community organization, Politics",Community organization,No political authority beyond the community. Excluded from analyses.
EA033,2,2,One level,One level,"Community organization, Politics",Community organization,
EA033,3,3,Two levels,Two levels,"Community organization, Politics",Community organization,
EA033,4,4,Three levels,Three levels,"Community organization, Politics",Community organization,
EA033,5,5,Four levels,Four levels,"Community organization, Politics",Community organization,
EA034,NA,NA,Missing data,Missing data,Ritual,Ritual,Do societies share the patterns for belief supernatural entities/ deities?
EA034,1,1,Absent,No high gods,Ritual,Ritual,"All codes indicating the presence of believes in amoral, high gods were lumped. "
EA034,2,2,Otiose,"High gods, not moral",Ritual,Ritual,"All codes indicating the presence of believes in amoral, high gods were lumped. "
EA034,3,2,"Active, but not supporting morality","High gods, not moral",Ritual,Ritual,
EA034,4,3,"Active, supporting morality","High gods, moral",Ritual,Ritual,
EA035,NA,NA,Missing data,Missing data,Ritual,Ritual,"Do societies share the types of games played (based on combination of attributes such as physical skills, chance and strategy)?"
EA035,1,NA,No games,No games,Ritual,Ritual,Absence of games. Excluded from analyses.
EA035,2,2,Physical skill only,Physical skill only,Ritual,Ritual,
